Experience,EducationLevel,Age,JobRole,Salary
1,Bachelors,23,Software Engineer,45000
3,Masters,27,Data Scientist,65000
5,PhD,34,Data Scientist,90000
2,Bachelors,25,Business Analyst,52000
4,Masters,29,Software Engineer,72000
7,PhD,38,Data Scientist,110000
3,Bachelors,30,Software Engineer,68000
6,Masters,35,Project Manager,95000
5,Masters,33,Business Analyst,82000
8,PhD,42,Project Manager,120000
2,Diploma,24,Marketing Specialist,48000
4,Bachelors,31,Marketing Specialist,69000
9,PhD,45,Project Manager,130000
1,Bachelors,22,Customer Support,40000
3,Masters,28,Customer Support,52000
6,Masters,36,Software Engineer,98000
7,PhD,40,Data Scientist,115000
5,Bachelors,32,Business Analyst,85000
2,Masters,26,Software Engineer,61000
8,PhD,41,Project Manager,125000
4,Masters,34,Data Scientist,92000
3,Bachelors,29,Marketing Specialist,68000
6,PhD,39,Project Manager,105000
5,Masters,33,Business Analyst,83000
4,Bachelors,30,Software Engineer,75000
7,PhD,43,Project Manager,118000
2,Masters,27,Customer Support,54000
5,Masters,35,Software Engineer,96000
3,Bachelors,28,Data Scientist,70000
8,PhD,44,Project Manager,128000
2,Diploma,24,Marketing Specialist,47000
1,Bachelors,23,Customer Support,42000
5,Masters,34,Business Analyst,84000
4,Bachelors,31,Software Engineer,78000
6,PhD,38,Project Manager,102000
3,Masters,29,Data Scientist,73000
2,Bachelors,26,Software Engineer,60000
4,Masters,32,Business Analyst,81000
5,PhD,36,Project Manager,98000
3,Masters,28,Customer Support,53000
2,Bachelors,25,Marketing Specialist,50000
8,PhD,42,Project Manager,127000
9,Masters,45,Data Scientist,125000
7,Masters,39,Software Engineer,102000
5,Bachelors,33,Marketing Specialist,76000
4,Masters,31,Business Analyst,79000
6,PhD,37,Project Manager,108000
2,Bachelors,26,Customer Support,51000
3,Masters,28,Software Engineer,67000
5,Bachelors,32,Data Scientist,86000
4,Masters,30,Marketing Specialist,70000
1,Diploma,22,Customer Support,41000
